Distance_(microns),Gray_Value
0.00000,28.5050
0.02000,25.7173
0.04000,26.5416
0.06000,31.8250
0.08000,38.5174
0.10000,40.1415
0.12000,34.9339
0.14000,27.6491
0.16000,23.0488
0.18000,21.0602
0.20000,21.0255
0.22000,23.6246
0.24000,29.5629
0.26000,34.9484
0.28000,36.0370
0.30000,33.1929
0.32000,28.7893
0.34000,24.4154
0.36000,21.4302
0.38000,20.7931
0.40000,23.6677
0.42000,30.4059
0.44000,40.0660
0.46000,47.7660
0.48000,48.0165
0.50000,40.6422
0.52000,32.0037
0.54000,26.9323
0.56000,26.0841
0.58000,27.9469
0.60000,31.1870
0.62000,34.5264
0.64000,36.8024
0.66000,38.4298
0.68000,39.3228
0.70000,38.1199
0.72000,33.9817
0.74000,28.0716
0.76000,23.3641
0.78000,21.0637
0.80000,20.9931
0.82000,22.0905
0.84000,23.9942
0.86000,26.5509
0.88000,29.1308
0.90000,31.2552
0.92000,33.7256
0.94000,35.8775
0.96000,35.1646
0.98000,31.4818
1.00000,27.0208
1.02000,24.2443
1.04000,25.2885
1.06000,31.1283
1.08000,44.2180
1.10000,63.1223
1.12000,76.7291
1.14000,74.1372
1.16000,59.8021
1.18000,45.3873
1.20000,37.8308
1.22000,38.2462
1.24000,43.6346
1.26000,49.1387
1.28000,52.9425
1.30000,52.9757
1.32000,47.6962
1.34000,40.5180
1.36000,35.3421
1.38000,33.0061
1.40000,32.8042
1.42000,35.4847
1.44000,39.5448
1.46000,40.5683
1.48000,36.8886
1.50000,30.5458
1.52000,24.9493
1.54000,22.4916
1.56000,22.8454
1.58000,24.4585
1.60000,27.0134
1.62000,32.4603
1.64000,40.6745
1.66000,45.8870
1.68000,43.0225
1.70000,34.8165
1.72000,27.2004
1.74000,22.7726
1.76000,20.8081
1.78000,20.0678
1.80000,20.0549
1.82000,21.3736
1.84000,23.4029
1.86000,24.8983
1.88000,25.4670
1.90000,25.4327
1.92000,25.4900
1.94000,24.6657
1.96000,22.2794
1.98000,19.1600
2.00000,16.6672
2.02000,15.9669
2.04000,18.4415
2.06000,24.6173
2.08000,31.9331
2.10000,34.7947
2.12000,31.4768
2.14000,25.9220
2.16000,22.4942
2.18000,21.7238
2.20000,22.4471
2.22000,25.2432
2.24000,30.8389
2.26000,36.3180
2.28000,36.5451
2.30000,31.1194
2.32000,24.8114
2.34000,22.2711
2.36000,23.1055
2.38000,25.0318
2.40000,28.2329
2.42000,32.4717
2.44000,35.2711
2.46000,33.6467
2.48000,27.8428
2.50000,22.5642
2.52000,20.8493
2.54000,22.5288
2.56000,27.3896
2.58000,35.7987
2.60000,46.7307
2.62000,53.4307
2.64000,50.6133
2.66000,42.3596
2.68000,35.2264
2.70000,31.0458
2.72000,28.3933
2.74000,25.4515
2.76000,23.0781
2.78000,23.2659
2.80000,27.4315
2.82000,36.4081
2.84000,47.4999
2.86000,55.2037
2.88000,55.5323
2.90000,48.4990
2.92000,37.9411
2.94000,28.2480
2.96000,21.9929
2.98000,19.5349
3.00000,21.3080
3.02000,28.3606
3.04000,38.8610
3.06000,45.4233
3.08000,41.6209
3.10000,30.7855
3.12000,22.3466
3.14000,19.2831
3.16000,19.6045
3.18000,22.8537
3.20000,28.9149
3.22000,35.7356
3.24000,38.2971
3.26000,33.1482
3.28000,24.3345
3.30000,18.4643
3.32000,16.5794
3.34000,16.8138
3.36000,18.7201
3.38000,24.6152
3.40000,35.8569
3.42000,46.3374
3.44000,47.3981
3.46000,38.2536
3.48000,26.5611
3.50000,19.1567
3.52000,17.9185
3.54000,21.8471
3.56000,31.3512
3.58000,43.7428
3.60000,50.4710
3.62000,45.1749
3.64000,33.6398
3.66000,24.1607
3.68000,19.5349
3.70000,18.2658
3.72000,18.1934
3.74000,18.5456
3.76000,20.1438
3.78000,24.4235
3.80000,31.3226
3.82000,37.9369
3.84000,39.7130
3.86000,34.9963
3.88000,27.3726
3.90000,21.3015
3.92000,17.9318
3.94000,16.8063
3.96000,17.3258
